cod_ibge,ano,mes,tipo_unidade,estabelecimentos
1702307,2021,12,5,1
1702307,2021,12,39,2
1702307,2022,12,39,2
1702307,2022,12,68,1
1702307,2022,12,50,1
1702307,2022,12,2,1
1702307,2022,12,5,1
1702307,2023,12,50,1
1702307,2023,12,2,1
1702307,2023,12,39,2
1702307,2023,12,68,1
1702307,2023,12,5,1
1702307,2024,12,50,1
1702307,2024,12,2,1
1702307,2024,12,5,1
1702307,2024,12,39,2
1702307,2024,12,68,1
1702307,2024,12,74,2
1702406,2019,12,74,1
1702406,2019,12,5,1
1702406,2019,12,2,4
1702406,2019,12,39,1
1702406,2019,12,68,1
1702406,2019,12,50,1
1702406,2019,12,1,1
1702406,2020,12,68,1
1702406,2020,12,74,1
1702406,2020,12,2,4
1702406,2020,12,39,1
1702406,2020,12,5,1
1702406,2020,12,50,1
1702406,2021,12,74,1
1702406,2021,12,50,1
1702406,2021,12,68,1
1702406,2021,12,39,1
1702406,2021,12,2,4
1702406,2021,12,5,1
1702406,2022,12,2,6
1702406,2022,12,1,1
1702406,2022,12,5,1
1702406,2022,12,74,1
1702406,2022,12,39,1
1702406,2022,12,68,1
1702406,2023,12,2,6
1702406,2023,12,68,1
1702406,2023,12,50,1
1702406,2023,12,74,1
1702406,2023,12,39,1
1702406,2023,12,5,1
1702406,2024,12,2,5
1702406,2024,12,50,1
1702406,2024,12,39,1
1702406,2024,12,5,1
1702406,2024,12,68,1
1702406,2024,12,74,1
1702554,2019,12,5,1
1702554,2019,12,36,3
1702554,2019,12,22,3
1702554,2019,12,68,1
1702554,2019,12,70,1
1702554,2019,12,39,4
1702554,2019,12,50,1
1702554,2019,12,2,5
1702554,2019,12,69,1
1702554,2020,12,50,1
1702554,2020,12,36,2
1702554,2020,12,22,3
1702554,2020,12,70,1
1702554,2020,12,39,4
1702554,2020,12,68,1
1702554,2020,12,69,1
1702554,2020,12,5,1
1702554,2020,12,1,1
1702554,2020,12,2,6
1702554,2020,12,84,1
1702554,2021,12,22,3
1702554,2021,12,1,1
1702554,2021,12,73,1
1702554,2021,12,68,1
1702554,2021,12,39,4
1702554,2021,12,2,6
1702554,2021,12,36,2
1702554,2021,12,84,1
1702554,2021,12,5,1
1702554,2021,12,69,1
1702554,2021,12,50,1
1702554,2021,12,70,1
1702554,2022,12,2,6
1702554,2022,12,22,2
1702554,2022,12,70,1
1702554,2022,12,36,5
1702554,2022,12,39,5
1702554,2022,12,50,1
1702554,2022,12,5,1
1702554,2022,12,73,1
1702554,2022,12,68,1
1702554,2022,12,69,1
1702554,2022,12,84,1
1702554,2023,12,39,4
1702554,2023,12,36,3
1702554,2023,12,70,1
1702554,2023,12,84,1
1702554,2023,12,69,1
1702554,2023,12,68,1
1702554,2023,12,5,1
1702554,2023,12,73,1
1702554,2023,12,2,6
1702554,2023,12,50,1
1702554,2024,12,73,1
1702554,2024,12,39,6
1702554,2024,12,70,1
1702554,2024,12,50,1
1702554,2024,12,36,4
1702554,2024,12,84,1
1702554,2024,12,2,6
1702554,2024,12,68,1
1702554,2024,12,69,1
1702554,2024,12,5,1
1702703,2019,12,74,1
1702703,2019,12,68,1
1702703,2019,12,2,1
1702703,2020,12,68,1
1702703,2020,12,74,1
1702703,2020,12,2,1
1702703,2021,12,2,1
1702703,2021,12,74,1
1702703,2021,12,50,1
1702703,2021,12,68,1
1702703,2022,12,74,1
1702703,2022,12,68,1
1702703,2022,12,2,1
1702703,2022,12,50,1
1702703,2023,12,74,1
1702703,2023,12,68,1
1702703,2023,12,50,1
1702703,2023,12,2,1
1702703,2024,12,50,1
1702703,2024,12,2,1
1702703,2024,12,68,1
1702703,2024,12,74,1
1702901,2019,12,50,1
1702901,2019,12,2,4
1702901,2019,12,1,1
1702901,2019,12,74,1
1702901,2019,12,68,1
1702901,2020,12,2,5
1702901,2020,12,50,1
1702901,2020,12,74,1
1702901,2020,12,68,1
1702901,2021,12,74,2
1702901,2021,12,2,5
1702901,2021,12,68,1
1702901,2021,12,50,1
1702901,2022,12,68,1
1702901,2022,12,74,2
1702901,2022,12,50,1
1702901,2022,12,39,1
1702901,2022,12,2,5
1702901,2023,12,2,5
1702901,2023,12,39,1
1702901,2023,12,74,2
1702901,2023,12,50,1
1702901,2023,12,68,1
1702901,2024,12,50,1
1702901,2024,12,83,1
1702901,2024,12,2,5
1702901,2024,12,39,1
1702901,2024,12,68,1
1702901,2024,12,74,2
1703008,2019,12,74,1
1703008,2019,12,68,1
1703008,2019,12,2,6
1703008,2019,12,50,1
1703008,2020,12,2,6
1703008,2020,12,68,1
1703008,2020,12,74,1
1703008,2020,12,50,1
1703008,2021,12,50,1
1703008,2021,12,68,1
1703008,2021,12,74,2
1703008,2021,12,2,6
1703008,2022,12,2,6
1703008,2022,12,74,2
1703008,2022,12,68,1
1703008,2022,12,50,1
1703008,2023,12,74,2
1703008,2023,12,68,1
1703008,2023,12,2,6
1703008,2023,12,50,1
1703008,2024,12,50,1
1703008,2024,12,68,1
1703008,2024,12,2,6
1703008,2024,12,74,2
1703057,2019,12,50,1
1703057,2019,12,2,1
1703057,2019,12,68,1
1703057,2020,12,2,2
1703057,2020,12,50,1
1703057,2020,12,68,1
1703057,2021,12,2,2
1703057,2021,12,68,1
1703057,2021,12,50,1
1703057,2022,12,15,1
1703057,2022,12,68,1
1703057,2022,12,2,1
