cod_ibge,ano,rede,ensino,ideb,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa
1701051,2015,municipal,fundamental,4.5,88.7,0.89555299,193.28,187.62
1701051,2017,estadual,fundamental,,,,,
1701051,2017,estadual,fundamental,4.4,89.2,0.89224899,246.91,249.66
1701051,2017,estadual,medio,4.2,92.0,0.94410998,273.64,264.72
1701051,2017,municipal,fundamental,5.0,91.0,0.899405,208.05,197.72
1701051,2017,municipal,fundamental,,68.8,0.695629,,
1701051,2017,publica,fundamental,5.0,91.0,0.899405,208.05,197.72
1701051,2017,publica,fundamental,4.3,86.3,0.86560202,246.91,249.66
1701051,2017,publica,medio,4.2,92.0,0.94410998,273.64,264.72
1701051,2019,estadual,fundamental,,,,,
1701051,2019,estadual,fundamental,4.2,87.1,0.86762202,251.27,236.16
1701051,2019,estadual,medio,3.9,97.5,0.97155702,260.51,244.22
1701051,2019,municipal,fundamental,5.0,94.4,0.95104498,197.97,193.36
1701051,2019,municipal,fundamental,,,,,
1701051,2019,publica,fundamental,4.2,87.1,0.86762202,251.27,236.16
1701051,2019,publica,fundamental,5.0,94.4,0.95104498,197.97,193.36
1701051,2019,publica,medio,3.9,97.5,0.97155702,260.51,244.22
1701051,2021,estadual,fundamental,4.6,97.3,0.97192,247.58,235.99
1701051,2021,estadual,fundamental,,,,,
1701051,2021,estadual,medio,4.3,97.4,0.969774,265.39,271.35
1701051,2021,municipal,fundamental,,,,,
1701051,2021,municipal,fundamental,4.2,91.1,0.912669,181.83,176.06
1701051,2021,publica,fundamental,4.2,91.1,0.912669,181.83,176.06
1701051,2021,publica,fundamental,4.6,97.3,0.97192,247.58,235.99
1701051,2021,publica,medio,4.3,97.4,0.969774,265.39,271.35
1701051,2023,estadual,fundamental,,,,,
1701051,2023,estadual,fundamental,4.4,96.7,0.965886,241.92,232.16
1701051,2023,estadual,medio,4.5,100.0,1.0,272.64,266.26
1701051,2023,municipal,fundamental,,,,,
1701051,2023,municipal,fundamental,5.0,98.6,0.985618,192.65,190.19
1701051,2023,publica,fundamental,4.4,96.7,0.965886,241.92,232.16
1701051,2023,publica,fundamental,5.0,98.6,0.985618,192.65,190.19
1701051,2023,publica,medio,4.5,100.0,1.0,272.64,266.26
1701101,2009,estadual,fundamental,3.8,86.9,0.86986703,231.88,232.42
1701101,2009,estadual,fundamental,4.7,98.1,0.98075902,194.92,168.74
1701101,2009,municipal,fundamental,4.4,96.0,0.95948201,192.8,164.55
1701101,2009,municipal,fundamental,,,,,
1701101,2009,publica,fundamental,4.5,96.6,0.96627402,193.63,166.19
1701101,2009,publica,fundamental,3.8,86.9,0.86986703,231.88,232.42
1701101,2011,estadual,fundamental,3.9,84.1,0.80751097,254.11,233.88
1701101,2011,estadual,fundamental,4.4,90.6,0.90313202,194.66,175.21
1701101,2011,municipal,fundamental,,,,,
1701101,2011,municipal,fundamental,4.3,89.7,0.89543802,184.61,179.33
1701101,2011,publica,fundamental,4.3,89.9,0.90449601,189.21,177.44
1701101,2011,publica,fundamental,4.0,83.5,0.830275,254.11,233.88
1701101,2013,estadual,fundamental,5.5,92.5,0.92594701,221.97,207.19
1701101,2013,estadual,fundamental,3.6,78.2,0.76681697,246.82,238.57
1701101,2013,municipal,fundamental,4.0,94.7,0.94770002,233.44,220.0
1701101,2013,municipal,fundamental,5.6,96.2,0.96561903,220.97,197.78
1701101,2013,publica,fundamental,3.9,86.4,0.86545998,241.47,231.13
1701101,2013,publica,fundamental,5.6,95.7,0.96017802,221.36,201.44
1701101,2015,estadual,fundamental,3.8,87.4,0.86713499,235.9,225.79
1701101,2015,estadual,fundamental,,,,,
1701101,2015,municipal,fundamental,5.2,95.7,0.95483202,205.1,196.01
1701101,2015,municipal,fundamental,4.1,90.4,0.903898,234.65,237.53
1701101,2017,estadual,fundamental,,,,,
1701101,2017,estadual,fundamental,4.5,85.7,0.79710102,273.29,263.92
1701101,2017,estadual,medio,4.4,91.3,0.918733,272.64,287.33
1701101,2017,municipal,fundamental,5.0,97.2,0.97348499,261.67,249.16
1701101,2017,municipal,fundamental,5.7,97.1,0.97525102,219.27,206.07
1701101,2017,publica,fundamental,5.0,93.7,0.936571,266.47,255.25
1701101,2017,publica,fundamental,5.7,97.1,0.97525102,219.27,206.07
1701101,2017,publica,medio,4.4,91.3,0.918733,272.64,287.33
1701101,2019,estadual,fundamental,,,,,
1701101,2019,estadual,fundamental,3.8,87.8,0.87972999,239.13,223.32
1701101,2019,estadual,medio,3.7,91.9,0.92067403,252.27,253.92
1701101,2019,municipal,fundamental,4.6,94.9,0.95137697,249.96,240.16
1701101,2019,municipal,fundamental,5.6,96.4,0.96620703,217.66,204.08
1701101,2019,publica,fundamental,5.6,96.4,0.96620703,217.66,204.08
1701101,2019,publica,fundamental,4.3,92.2,0.92313302,245.3,232.91
1701101,2019,publica,medio,3.7,91.9,0.92067403,252.27,253.92
1701101,2021,estadual,fundamental,,,,,
1701101,2021,estadual,fundamental,,98.4,0.987013,,
