cod_ibge,ano,cnae_2_secao,vinculos
1701002,2023,84,707
1701002,2023,10,17
1701002,2023,21,1
1701002,2023,46,13
1701002,2023,74,1
1701002,2023,23,1
1701002,2023,93,1
1701002,2024,84,721
1701002,2024,61,3
1701002,2024,25,1
1701002,2024,16,16
1701002,2024,74,1
1701002,2024,82,2
1701002,2024,93,1
1701002,2024,94,2
1701002,2024,46,26
1701002,2024,69,19
1701002,2024,10,18
1701002,2024,77,6
1701002,2024,49,7
1701002,2024,21,1
1701002,2024,41,19
1701002,2024,35,12
1701002,2024,50,7
1701002,2024,56,5
1701002,2024,85,4
1701002,2024,11,28
1701002,2024,64,6
1701002,2024,96,1
1701002,2024,47,184
1701002,2024,15,391
1701002,2024,53,2
1701002,2024,23,1
1701002,2024,31,1
1701002,2024,45,18
1701002,2024,55,7
1701002,2024,86,8
1701051,2019,84,280
1701051,2019,47,6
1701051,2019,69,1
1701051,2019,49,1
1701051,2019,53,1
1701051,2019,01,71
1701051,2019,02,39
1701051,2020,02,35
1701051,2020,01,71
1701051,2020,47,9
1701051,2020,84,259
1701051,2020,49,3
1701051,2020,36,5
1701051,2020,69,1
1701051,2020,53,1
1701051,2021,53,1
1701051,2021,69,1
1701051,2021,47,9
1701051,2021,49,3
1701051,2021,84,290
1701051,2021,36,8
1701051,2021,01,65
1701051,2021,02,21
1701051,2022,49,3
1701051,2022,84,310
1701051,2022,02,23
1701051,2022,53,1
1701051,2022,69,2
1701051,2022,01,92
1701051,2022,36,8
1701051,2022,47,11
1701051,2023,22,20
1701051,2023,69,1
1701051,2023,84,324
1701051,2023,15,105
1701051,2023,49,2
1701051,2023,36,7
1701051,2023,56,1
1701051,2023,47,15
1701051,2023,82,1
1701051,2023,53,1
1701051,2024,84,332
1701051,2024,82,2
1701051,2024,36,3
1701051,2024,22,20
1701051,2024,53,1
1701051,2024,47,10
1701051,2024,49,1
1701051,2024,15,105
1701101,2019,11,27
1701101,2019,86,2
1701101,2019,69,2
1701101,2019,94,1
1701101,2019,53,3
1701101,2019,01,247
1701101,2019,70,66
1701101,2019,61,4
1701101,2019,23,25
1701101,2019,46,2
1701101,2019,35,6
1701101,2019,77,1
1701101,2019,84,518
1701101,2019,47,56
1701101,2019,49,6
1701101,2019,10,13
1701101,2020,94,1
1701101,2020,10,12
1701101,2020,97,1
1701101,2020,46,1
1701101,2020,70,76
1701101,2020,01,246
1701101,2020,11,27
1701101,2020,35,5
1701101,2020,53,3
1701101,2020,84,645
1701101,2020,47,51
1701101,2020,23,17
1701101,2020,61,4
1701101,2020,69,2
1701101,2020,49,1
1701101,2021,74,2
1701101,2021,70,82
1701101,2021,69,2
1701101,2021,10,6
1701101,2021,49,6
1701101,2021,45,1
1701101,2021,35,5
1701101,2021,94,1
1701101,2021,11,36
1701101,2021,23,22
1701101,2021,47,59
1701101,2021,84,439
1701101,2021,03,2
1701101,2021,01,282
