cod_ibge_1,color,last_modification,modified_by,nome,shape_area,shape_leng,d_eja_es,d_eja_fe,d_eja_mu,d_eja_pa,d_es_es,d_es_fe,d_es_mu,d_es_pa,do_cre_es,do_cre_mu,do_cre_pa,do_fu_es,do_fu_mu,do_fu_pa,do_me_es,do_me_fe,do_me_mu,do_me_pa,do_pre_es,do_pre_mu,do_pre_pa,do_pro_es,do_pro_fe,do_pro_mu,do_pro_pa
1707702,1,,,Filadélfia,0.16279728,2.32339044,5,0,6,0,35,0,21,0,0,3,0,28,41,0,24,0,0,0,0,9,0,0,0,0,0
1702109,2,,,Araguaína,0.32776982,5.01307033,102,14,71,19,650,24,343,166,7,182,71,520,312,230,318,25,0,99,4,164,91,32,36,14,38
1703883,0,,,Carmolândia,0.02777452,1.02298311,8,0,7,0,11,0,11,0,0,4,0,11,16,0,10,0,0,0,0,4,0,0,0,0,0
1703008,0,,,Babaçulândia,0.14601325,2.120541,5,0,9,0,31,0,39,0,0,10,0,21,53,0,21,0,0,0,0,13,0,0,0,0,0
1718865,0,,,Santa Fé do Araguaia,0.13647941,2.24325853,16,0,12,0,13,0,24,0,0,3,1,27,42,3,26,0,0,0,0,7,1,0,0,0,0
1713957,1,,,Muricilândia,0.09725123,2.29045583,10,0,0,0,12,0,4,0,0,3,0,18,19,0,12,0,0,0,0,2,0,0,0,0,0
1701309,3,,,Aragominas,0.09721209,2.64412508,38,0,2,0,29,0,9,0,0,0,0,42,29,0,38,0,0,0,0,7,0,0,0,0,0
1722081,1,,,Wanderlândia,0.1117185,1.98725643,25,0,17,0,63,0,46,1,0,7,0,42,57,3,32,0,0,0,0,11,1,0,0,0,0
1706506,2,,,Darcinópolis,0.13413108,2.60092145,4,0,0,0,18,0,16,0,0,0,0,18,31,0,10,0,0,0,0,11,0,4,0,0,0
1702158,1,,,Araguanã,0.06863359,2.27146378,0,0,0,0,17,0,14,0,0,4,0,20,25,0,19,0,0,0,0,8,0,0,0,0,0
1713809,0,,,Palmeiras do Tocantins,0.06080486,1.40726161,20,0,0,0,32,0,9,0,0,0,0,20,27,0,13,0,0,0,0,7,0,0,0,0,0
1717206,3,,,Piraquê,0.11151501,2.04098834,8,0,1,0,8,0,5,0,0,2,0,12,16,0,11,0,0,0,0,4,0,0,0,0,0
1700301,1,,,Aguiarnópolis,0.01949218,0.72766301,9,0,2,0,19,0,15,0,0,2,0,16,35,0,14,0,0,0,0,7,0,3,0,0,0
1720002,3,,,Santa Terezinha do Tocantins,0.02240767,0.8818359,12,0,0,0,16,0,8,0,0,0,0,7,25,0,9,0,0,0,0,3,0,12,0,0,0
1718550,0,,,Riachinho,0.04186685,1.58641725,4,0,0,0,6,0,31,0,0,0,0,0,40,0,8,0,0,0,0,7,0,4,0,0,0
1722107,4,,,Xambioá,0.09747879,2.0382447,17,0,9,0,33,0,49,0,0,8,1,44,60,6,41,0,0,0,0,20,3,0,0,0,0
