cod_ibge_1,color,nome,shape_area,shape_leng,cod_ibge,last_modification_1,modified_by_1,ndc_est_ru,ndc_est_ur,ndc_mun_ru,ndc_mun_u,ndc_mun_ur,ndc_pa_ru,ndc_pa_ur,nde_e_ru,nde_e_ur,nde_m_ur,nde_pa_ur,ndeja_e_r,ndeja_e_ru,ndeja_e_u,ndeja_e_ur,ndeja_m_ru,ndeja_m_u,ndeja_m_ur,ndeja_p_ru,ndeja_p_u,ndeja_p_ur,ndeja_ur_f,ndf_es_ru,ndf_es_ur,ndf_mun_ru,ndf_mun_ur,ndf_pa_ru,ndf_pa_ur,ndm_es_ru,ndm_es_ur,ndm_mun_ru,ndm_mun_ur,ndm_pa_ru,ndm_pa_ur,ndm_ru_fe,ndm_ur_fe,ndp_es_ru,ndp_es_u,ndp_es_ur,ndp_mun_ru,ndp_pa_r,ndp_pa_ru,ndp_pa_u,ndp_pa_ur,ndp_ru_fe,ndp_ur_fe
1718501,1,Recursolândia,0.182156,3.07033462,1718501,,,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,21,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1718402,0,Presidente Kennedy,0.06336653,1.75368791,1718402,,,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,23,0,13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706001,0,Couto de Magalhães,0.13010466,2.25476748,1706001,,,0,0,0,6,6,0,0,0,7,0,0,0,0,2,6,0,0,0,0,0,0,0,18,15,13,23,0,0,10,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1711100,2,Itaporã do Tocantins,0.07962937,1.64374706,1711100,,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710508,3,Itacajá,0.25028004,3.75607387,1710508,,,0,0,0,0,6,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,43,34,19,13,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703602,1,Brasilândia do Tocantins,0.05301349,1.58163223,1703602,,,0,0,0,4,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,8,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721307,2,Tupiratins,0.07298803,1.53113203,1721307,,,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716653,4,Pequizeiro,0.09901545,2.7857013,1716653,,,0,0,0,7,4,0,0,0,0,0,0,0,0,1,9,6,5,0,0,0,0,0,0,12,22,16,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1711803,1,Juarina,0.03995133,1.19529153,1711803,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710904,4,Itapiratins,0.10230238,2.37299098,1710904,,,0,0,0,1,4,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,16,6,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
