cod_ibge,nome,nmc_mru,nmc_mur,nmc_pru,nmc_pur,nmee_eur,nmee_mur,nmee_pur,nmee_ru,nmeef_eru,nmeef_eur,nmeef_mru,nmeef_pur,nmeem_eru,nmeem_eur,nmeem_fur,nmeem_mur,nmeem_pru,nmeem_pur,nmef_eru,nmef_eur,nmef_mru,nmef_mu,nmef_mur,nmef_pru,nmef_pur,nmem_eru,nmem_eur,nmem_mru,nmem_pru,nmem_pur,nmem_ruf,nmem_urf,nmep_eur,nmep_fru,nmep_fur,nmep_pru,nmep_pur,nmpe_mru,nmpe_mur,nmpe_pru,nmpe_pur
1706506,Darcinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,89,41,469,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,191,0,0
1702158,Araguanã,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,144,0,417,0,0,0,327,0,0,0,0,0,0,0,0,0,0,31,78,0,0
1713809,Palmeiras do Tocantins,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,496,152,0,326,0,0,0,250,0,0,0,0,0,0,0,0,0,0,38,119,0,0
1717206,Piraquê,0,72,0,0,0,0,0,0,0,35,18,0,0,15,0,0,0,0,0,222,75,0,190,0,0,0,142,0,0,0,0,0,0,0,0,0,0,14,37,0,0
1700301,Aguiarnópolis,0,50,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,309,7,36,739,0,0,0,247,0,0,0,0,0,0,0,0,0,0,1,160,0,0
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,127,0,231,0,0,0,146,0,0,0,0,0,0,0,0,0,0,26,56,0,0
1718550,Riachinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,542,0,0,0,240,0,0,0,0,0,0,0,0,0,0,54,100,0,0
1722107,Xambioá,0,91,0,0,0,0,0,0,0,65,0,0,0,95,0,0,0,0,0,1133,70,55,817,0,63,0,584,0,0,0,0,0,0,0,0,0,0,12,259,0,49
1701051,Angico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,99,0,288,0,0,0,146,0,0,0,0,0,0,0,0,0,0,13,74,0,0
1714302,Nazaré,0,62,0,0,52,0,0,0,0,0,0,0,0,30,0,0,0,0,215,246,153,0,279,0,0,68,128,0,0,0,0,0,0,0,0,0,0,49,81,0,0
