cod_ibge,nome,mun_ur_pre,mun_ru_pre,pri_ur_pre,es_ur,es_ru,mun_ur,mun_r,pri_ur,pri_ru,fed,fed_ru,est,est_re,mun_ru,pri_urbano,pri_rural,fed_ur,fed_r,est_u,pri_rl,pri,fed_u,fed_rural,est_ur,est_ru,mun_u,mun,pri_u,pri_r,es_ur_tot,es_ru_tot,mun_ur_tot,mun_ru_tot,pri_ur_tot
1701309,Aragominas,2,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1722081,Wanderlândia,3,5,1,3,0,2,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0
1706506,Darcinópolis,1,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702158,Araguanã,1,1,0,2,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1713809,Palmeiras do Tocantins,1,4,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1717206,Piraquê,1,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1700301,Aguiarnópolis,2,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,1,2,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1718550,Riachinho,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1722107,Xambioá,2,0,1,5,0,4,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1701051,Angico,1,3,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1714302,Nazaré,1,3,0,2,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1712454,Luzinópolis,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721208,Tocantinópolis,8,7,2,7,10,5,7,2,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
1703826,Cachoeirinha,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1701002,Ananás,5,1,1,4,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1712801,Maurilândia do Tocantins,1,2,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720101,São Bento do Tocantins,1,6,0,1,1,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
1710706,Itaguatins,2,14,0,1,0,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702901,Axixá do Tocantins,7,15,1,2,0,7,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1720804,Sítio Novo do Tocantins,5,9,0,3,2,4,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0
1720200,São Miguel do Tocantins,2,10,0,1,1,2,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0
1702554,Augustinópolis,5,8,2,4,1,5,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1718303,Praia Norte,2,10,0,1,0,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
1702208,Araguatins,3,16,4,6,4,3,16,3,0,0,1,1,4,0,0,0,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1
1703800,Buriti do Tocantins,4,4,0,3,2,4,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1703891,Carrasco Bonito,1,3,0,1,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1718808,Sampaio,1,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707405,Esperantina,2,9,0,1,1,2,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
1720309,São Sebastião do Tocantins,1,4,0,2,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712157,Lavandeira,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702703,Aurora do Tocantins,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,1,0,0,2,1,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715259,Novo Jardim,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707009,Dianópolis,4,10,2,6,1,4,11,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
1718659,Rio da Conceição,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712702,Mateiros,1,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1709302,Guaraí,5,3,4,5,0,5,3,4,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0
