cod_ibge,nome,sus_2006,priv_2006,sus_2007,priv_2007,sus_2008,priv_2008,sus_2009,priv_2009,sus_2010,priv_2010,sus_2011,priv_2011,sus_2012,priv_2012,sus_2013,priv_2013,sus_2014,priv_2014,sus_2015,priv_2015,sus_2016,priv_2016,sus_2017,priv_2017,sus_2018,priv_2018,sus_2019,priv_2019
1716307,Pau d'Arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707702,Filadélfia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702109,Araguaína,581,86,579,86,525,90,580,90,593,90,593,90,551,115,564,115,459,90,419,104,429,124,430,124,430,124,457,132
1703883,Carmolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703008,Babaçulândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718865,Santa Fé do Araguaia,0,0,0,0,0,0,5,0,6,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0
1713957,Muricilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701309,Aragominas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722081,Wanderlândia,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706506,Darcinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702158,Araguanã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713809,Palmeiras do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717206,Piraquê,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718550,Riachinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722107,Xambioá,35,0,35,0,35,0,35,0,35,0,35,0,29,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0
1701051,Angico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714302,Nazaré,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0
1712454,Luzinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
