cod_ibge,ano,mes,acessos_densidade
1706100,2023,12,18.67838643855
1706100,2024,12,17.119776293304
1706258,2019,12,3.7746806039489
1706258,2020,12,3.0547550432277
1706258,2021,12,2.7444253859348
1706258,2022,12,3.265306122449
1706258,2023,12,3.0612244897959
1706258,2024,12,3.1354236157438
1706506,2019,12,2.5914384123339
1706506,2020,12,2.8668610301263
1706506,2021,12,2.24
1706506,2022,12,2.2138321606315
1706506,2023,12,2.1108632229278
1706506,2024,12,1.8500165180046
1707009,2019,12,3.6722525859343
1707009,2020,12,5.3023546200499
1707009,2021,12,6.2455954897815
1707009,2022,12,3.7544393708777
1707009,2023,12,3.3823778116016
1707009,2024,12,2.2184016416172
1707108,2019,12,7.231884057971
1707108,2020,12,2.8229871813337
1707108,2021,12,2.1900944746636
1707108,2022,12,1.8365603644647
1707108,2023,12,1.6657175398633
1707108,2024,12,2.0282307797725
1707207,2019,12,2.4729091414282
1707207,2020,12,2.964509394572
1707207,2021,12,2.1469399135648
1707207,2022,12,2.4498182392919
1707207,2023,12,2.4972340761814
1707207,2024,12,2.9867083659109
1707306,2019,12,5.9965855740504
1707306,2020,12,5.5911224925309
1707306,2021,12,1.7072129748186
1707306,2022,12,2.683615819209
1707306,2023,12,2.7071563088512
1707306,2024,12,3.3557046979866
1707405,2019,12,0.64568934157876
1707405,2020,12,0.53864799353622
1707405,2021,12,0.96631205673759
1707405,2022,12,2.4435590969456
1707405,2023,12,3.4661354581673
1707405,2024,12,3.7101294541572
1707553,2019,12,3.4941329856584
1707553,2020,12,3.2637075718016
1707553,2021,12,3.0857740585774
1707553,2022,12,4.2399769252956
1707553,2023,12,2.2209402942025
1707553,2024,12,1.3920454545455
1707652,2019,12,4.2561276838305
1707652,2020,12,3.4140759107381
1707652,2021,12,3.0639601685178
1707652,2022,12,2.5139128766072
1707652,2023,12,2.053348685473
1707652,2024,12,1.7991004497751
1707702,2019,12,3.7827461607949
1707702,2020,12,3.2679738562092
1707702,2021,12,2.7215474583896
1707702,2022,12,2.6192946058091
1707702,2023,12,2.0228215767635
1707702,2024,12,1.6745494055989
1708205,2019,12,5.29284164859
1708205,2020,12,5.2448502636013
1708205,2021,12,2.9578385445038
1708205,2022,12,4.7031407234786
1708205,2023,12,4.9044012499338
1708205,2024,12,5.1369157916409
1708254,2019,12,5.2143684820394
1708254,2020,12,6.0338201383551
1708254,2021,12,8.4512428298279
1708254,2022,12,2.6628075253256
1708254,2023,12,2.1128798842258
1708254,2024,12,2.0402611534276
1708304,2019,12,2.1471793870779
1708304,2020,12,2.9239766081871
1708304,2021,12,2.3364485981308
1708304,2022,12,2.5116082735331
1708304,2023,12,2.1528070915998
1708304,2024,12,2.2727272727273
1709005,2019,12,1.482448728781
1709005,2020,12,0.49637266132111
1709005,2021,12,1.7617131141317
1709005,2022,12,2.2681573232526
1709005,2023,12,2.4370626558353
1709005,2024,12,3.7531210986267
1709302,2019,12,8.3516568298422
1709302,2020,12,14.821326199121
1709302,2021,12,13.066696966254
1709302,2022,12,9.5257315842583
1709302,2023,12,9.4732593340061
1709302,2024,12,9.2247186636034
1709500,2019,12,7.6378870589865
1709500,2020,12,4.2926494945457
1709500,2021,12,5.4654634278735
1709500,2022,12,10.560815731974
1709500,2023,12,11.43246481686
1709500,2024,12,24.836448076451
1709807,2019,12,1.985111662531
1709807,2020,12,2.1929824561404
1709807,2021,12,1.5325670498084
1709807,2022,12,1.6981132075472
1709807,2023,12,15.408805031447
1709807,2024,12,14.505224339275
1710508,2019,12,3.8073456208799
1710508,2020,12,4.3612453032743
1710508,2021,12,3.8013652790791
1710508,2022,12,5.7193136823581
1710508,2023,12,5.6313242410911
1710508,2024,12,6.3710718897977
1710706,2019,12,2.199863574352
1710706,2020,12,1.8518518518519
1710706,2021,12,1.844509567316
1710706,2022,12,1.9334880123743
1710706,2023,12,2.5135344160866
1710706,2024,12,3.1310026892048
1710904,2019,12,1.4826581943341
1710904,2020,12,2.3715415019763
1710904,2021,12,5.0078657577347
1710904,2022,12,2.9074643556053
1710904,2023,12,3.3827229521946
1710904,2024,12,14.677901603697
1711100,2019,12,4.1203131437989
1711100,2020,12,4.6280991735537
1711100,2021,12,3.2752902155887
1711100,2022,12,3.0366056572379
1711100,2023,12,2.7038269550749
1711100,2024,12,14.650974025974
1711506,2019,12,1.8706157443492
1711506,2020,12,1.5987622485817
1711506,2021,12,1.510496671787
1711506,2022,12,6.9886022795441
1711506,2023,12,10.227954409118
1711506,2024,12,11.107846018219
1711803,2019,12,1.5503875968992
1711803,2020,12,2.0604395604396
1711803,2021,12,1.5639374425023
1711803,2022,12,1.2483281319661
1711803,2023,12,1.7387427552385
1711803,2024,12,2.7331887201735
1711902,2019,12,2.5829153252976
1711902,2020,12,2.6031003217315
1711902,2021,12,10.42247480163
