numero_distribuicao,ano,mes,ente,sigla_estado,codigo_ente,nome_ente,tipo_distribuicao,substancia,tipo_afetamento,valor,data_criacao
269,2008,1,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1380.9055,2007-11-30
269,2008,1,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,690.131,2007-10-31
269,2008,1,Município,TO,1718402.0,PRESIDENTE KENNEDY,Produtor,GRANITO,-,165.6005,2007-11-30
271,2008,2,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,1246.4855,2007-12-31
271,2008,2,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,138.502,2007-12-31
271,2008,2,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,1013.22,2007-11-30
271,2008,2,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,78.0585,2007-12-31
271,2008,2,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,2485.3335,2007-11-30
271,2008,2,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,2150.3755,2007-12-31
271,2008,2,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,101.53,2007-12-31
271,2008,2,Município,TO,1718204.0,PORTO NACIONAL,Produtor,CASCALHO,-,209.4885,2007-12-31
271,2008,2,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,182.7995,2007-12-31
271,2008,2,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,43.6475,2007-11-30
271,2008,2,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,547.053,2007-12-31
271,2008,2,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,390.182,2007-11-30
271,2008,2,Município,TO,1716604.0,PEIXE,Produtor,MINÉRIO DE BERÍLIO,-,7361.991,2007-12-31
271,2008,2,Município,TO,1718204.0,PORTO NACIONAL,Produtor,PEDREGULHO,-,133.3085,2007-12-31
271,2008,2,Município,TO,1721000.0,PALMAS,Produtor,SEIXOS,-,38.09,2007-12-31
272,2008,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,52.325,2007-11-30
272,2008,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,47.125,2007-12-31
272,2008,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,41.86,2008-01-31
272,2008,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,27.092,2007-10-31
272,2008,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,24.557,2007-09-30
272,2008,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,17.6865,2007-08-31
